"Time:","13m 58s"
"Epoch","Train Loss","Val Loss","Train Acc","Val Acc"
"0","2.8348","2.8348","0.0493","0.0493"
"1","2.8345","2.8345","0.0500","0.0500"
"2","2.8342","2.8342","0.0529","0.0529"
"3","2.8339","2.8339","0.0559","0.0559"
"4","2.8332","2.8332","0.0507","0.0507"
"5","2.8321","2.8321","0.0684","0.0684"
"6","2.8296","2.8296","0.0654","0.0654"
"7","2.8240","2.8240","0.0743","0.0743"
"8","2.8070","2.8070","0.0816","0.0816"
"9","2.7655","2.7655","0.1169","0.1169"
"10","2.6772","2.6772","0.1603","0.1603"
"11","2.5816","2.5816","0.1691","0.1691"
"12","2.4522","2.4522","0.2051","0.2051"
"13","2.3694","2.3694","0.2279","0.2279"
"14","2.2857","2.2857","0.2691","0.2691"
"15","2.2075","2.2075","0.2846","0.2846"
"16","2.1471","2.1471","0.3037","0.3037"
"17","2.0723","2.0723","0.3125","0.3125"
"18","1.9974","1.9974","0.3507","0.3507"
"19","1.9256","1.9256","0.3684","0.3684"
"20","1.8452","1.8452","0.4110","0.4110"
"21","1.7260","1.7260","0.4316","0.4316"
"22","1.6195","1.6195","0.4669","0.4669"
"23","1.5055","1.5055","0.5213","0.5213"
"24","1.4061","1.4061","0.5507","0.5507"
"25","1.3063","1.3063","0.5654","0.5654"
"26","1.1838","1.1838","0.6029","0.6029"
"27","1.0497","1.0497","0.6404","0.6404"
"28","0.8460","0.8460","0.7213","0.7213"
"29","0.8052","0.8052","0.7397","0.7397"
"30","0.6593","0.6593","0.7882","0.7882"
"31","0.5359","0.5359","0.8294","0.8294"
"32","0.4614","0.4614","0.8559","0.8559"
"33","0.3491","0.3491","0.9029","0.9029"
"34","0.3250","0.3250","0.8956","0.8956"
"35","0.1007","0.1007","0.9743","0.9743"
"36","0.0515","0.0515","0.9904","0.9904"
"37","0.1392","0.1392","0.9676","0.9676"
"38","0.0671","0.0671","0.9809","0.9809"
"39","0.0095","0.0095","0.9993","0.9993"
"40","0.0014","0.0014","1.0000","1.0000"
"41","0.0007","0.0007","1.0000","1.0000"
"42","0.0005","0.0005","1.0000","1.0000"
"43","0.0004","0.0004","1.0000","1.0000"
"44","0.0004","0.0004","1.0000","1.0000"
"45","0.0003","0.0003","1.0000","1.0000"
"46","0.0003","0.0003","1.0000","1.0000"
"47","0.0003","0.0003","1.0000","1.0000"
"48","0.0002","0.0002","1.0000","1.0000"
"49","0.0002","0.0002","1.0000","1.0000"
