"Time:","13m 21s"
"Epoch","Train Loss","Val Loss","Train Acc","Val Acc"
"0","2.9930","2.9930","0.0926","0.0926"
"1","3.0206","3.0206","0.1279","0.1279"
"2","2.7049","2.7049","0.1809","0.1809"
"3","2.5569","2.5569","0.1794","0.1794"
"4","2.4192","2.4192","0.2125","0.2125"
"5","2.3376","2.3376","0.2346","0.2346"
"6","2.3017","2.3017","0.2500","0.2500"
"7","2.1557","2.1557","0.2801","0.2801"
"8","2.0695","2.0695","0.3066","0.3066"
"9","2.0299","2.0299","0.3412","0.3412"
"10","1.8831","1.8831","0.3728","0.3728"
"11","1.8067","1.8067","0.3919","0.3919"
"12","1.7886","1.7886","0.3963","0.3963"
"13","1.7193","1.7193","0.4147","0.4147"
"14","1.5581","1.5581","0.4743","0.4743"
"15","1.5142","1.5142","0.4882","0.4882"
"16","1.5562","1.5562","0.4860","0.4860"
"17","1.4396","1.4396","0.5338","0.5338"
"18","1.3983","1.3983","0.5265","0.5265"
"19","1.3738","1.3738","0.5338","0.5338"
"20","1.3598","1.3598","0.5397","0.5397"
"21","1.3398","1.3398","0.5691","0.5691"
"22","1.2203","1.2203","0.5860","0.5860"
"23","1.2093","1.2093","0.5882","0.5882"
"24","1.2345","1.2345","0.5868","0.5868"
"25","1.1352","1.1352","0.6199","0.6199"
"26","1.0988","1.0988","0.6279","0.6279"
"27","1.1161","1.1161","0.6199","0.6199"
"28","0.9868","0.9868","0.6640","0.6640"
"29","1.2451","1.2451","0.6375","0.6375"
"30","1.0173","1.0173","0.6581","0.6581"
"31","0.9334","0.9334","0.6765","0.6765"
"32","0.9127","0.9127","0.6809","0.6809"
"33","1.1149","1.1149","0.6537","0.6537"
"34","0.9272","0.9272","0.6801","0.6801"
"35","0.8931","0.8931","0.6816","0.6816"
"36","0.8419","0.8419","0.6971","0.6971"
"37","0.8353","0.8353","0.7007","0.7007"
"38","0.8099","0.8099","0.7147","0.7147"
"39","0.8247","0.8247","0.7176","0.7176"
"40","0.7606","0.7606","0.7250","0.7250"
"41","0.7604","0.7604","0.7257","0.7257"
"42","0.7648","0.7648","0.7279","0.7279"
"43","0.7914","0.7914","0.7199","0.7199"
"44","0.7650","0.7650","0.7199","0.7199"
"45","0.7525","0.7525","0.7213","0.7213"
"46","0.7683","0.7683","0.7250","0.7250"
"47","0.8029","0.8029","0.7279","0.7279"
"48","0.7282","0.7282","0.7243","0.7243"
"49","0.7159","0.7159","0.7338","0.7338"
