"Time:","13m 54s"
"Epoch","Train Loss","Val Loss","Train Acc","Val Acc"
"0","2.8346","2.8346","0.0559","0.0559"
"1","2.8335","2.8335","0.0588","0.0588"
"2","2.8316","2.8316","0.0625","0.0625"
"3","2.8263","2.8263","0.0721","0.0721"
"4","2.8085","2.8085","0.0676","0.0676"
"5","2.7370","2.7370","0.1132","0.1132"
"6","2.5756","2.5756","0.1801","0.1801"
"7","2.3756","2.3756","0.2294","0.2294"
"8","2.2438","2.2438","0.2868","0.2868"
"9","2.1250","2.1250","0.3088","0.3088"
"10","2.0168","2.0168","0.3566","0.3566"
"11","1.8766","1.8766","0.3765","0.3765"
"12","1.7584","1.7584","0.4169","0.4169"
"13","1.6487","1.6487","0.4529","0.4529"
"14","1.5000","1.5000","0.4956","0.4956"
"15","1.3972","1.3972","0.5390","0.5390"
"16","1.2942","1.2942","0.5544","0.5544"
"17","1.1894","1.1894","0.5926","0.5926"
"18","1.0947","1.0947","0.6368","0.6368"
"19","0.9365","0.9365","0.6794","0.6794"
"20","0.8790","0.8790","0.7015","0.7015"
"21","0.6944","0.6944","0.7632","0.7632"
"22","0.5750","0.5750","0.8088","0.8088"
"23","0.4884","0.4884","0.8419","0.8419"
"24","0.4079","0.4079","0.8625","0.8625"
"25","0.3578","0.3578","0.8912","0.8912"
"26","0.2741","0.2741","0.9125","0.9125"
"27","0.2131","0.2131","0.9346","0.9346"
"28","0.1268","0.1268","0.9676","0.9676"
"29","0.1174","0.1174","0.9676","0.9676"
"30","0.0504","0.0504","0.9860","0.9860"
"31","0.0857","0.0857","0.9772","0.9772"
"32","0.0170","0.0170","0.9971","0.9971"
"33","0.0027","0.0027","1.0000","1.0000"
"34","0.0012","0.0012","1.0000","1.0000"
"35","0.0009","0.0009","1.0000","1.0000"
"36","0.0007","0.0007","1.0000","1.0000"
"37","0.0006","0.0006","1.0000","1.0000"
"38","0.0005","0.0005","1.0000","1.0000"
"39","0.0005","0.0005","1.0000","1.0000"
"40","0.0004","0.0004","1.0000","1.0000"
"41","0.0004","0.0004","1.0000","1.0000"
"42","0.0003","0.0003","1.0000","1.0000"
"43","0.0003","0.0003","1.0000","1.0000"
"44","0.0003","0.0003","1.0000","1.0000"
"45","0.0003","0.0003","1.0000","1.0000"
"46","0.0003","0.0003","1.0000","1.0000"
"47","0.0002","0.0002","1.0000","1.0000"
"48","0.0002","0.0002","1.0000","1.0000"
"49","0.0002","0.0002","1.0000","1.0000"
