"Time:","13m 55s"
"Epoch","Train Loss","Val Loss","Train Acc","Val Acc"
"0","7.5800","7.5800","0.3456","0.3456"
"1","1.3548","1.3548","0.5463","0.5463"
"2","1.0032","1.0032","0.6640","0.6640"
"3","0.7033","0.7033","0.7669","0.7669"
"4","0.5060","0.5060","0.8324","0.8324"
"5","0.2875","0.2875","0.9081","0.9081"
"6","0.1778","0.1778","0.9449","0.9449"
"7","0.0701","0.0701","0.9853","0.9853"
"8","0.0315","0.0315","0.9963","0.9963"
"9","0.0236","0.0236","0.9941","0.9941"
"10","0.0103","0.0103","0.9985","0.9985"
"11","0.0057","0.0057","1.0000","1.0000"
"12","0.0044","0.0044","1.0000","1.0000"
"13","0.0037","0.0037","1.0000","1.0000"
"14","0.0032","0.0032","1.0000","1.0000"
"15","0.0028","0.0028","1.0000","1.0000"
"16","0.0026","0.0026","1.0000","1.0000"
"17","0.0023","0.0023","1.0000","1.0000"
"18","0.0022","0.0022","1.0000","1.0000"
"19","0.0020","0.0020","1.0000","1.0000"
"20","0.0019","0.0019","1.0000","1.0000"
"21","0.0017","0.0017","1.0000","1.0000"
"22","0.0016","0.0016","1.0000","1.0000"
"23","0.0016","0.0016","1.0000","1.0000"
"24","0.0015","0.0015","1.0000","1.0000"
"25","0.0014","0.0014","1.0000","1.0000"
"26","0.0014","0.0014","1.0000","1.0000"
"27","0.0013","0.0013","1.0000","1.0000"
"28","0.0012","0.0012","1.0000","1.0000"
"29","0.0012","0.0012","1.0000","1.0000"
"30","0.0012","0.0012","1.0000","1.0000"
"31","0.0011","0.0011","1.0000","1.0000"
"32","0.0011","0.0011","1.0000","1.0000"
"33","0.0010","0.0010","1.0000","1.0000"
"34","0.0010","0.0010","1.0000","1.0000"
"35","0.0010","0.0010","1.0000","1.0000"
"36","0.0010","0.0010","1.0000","1.0000"
"37","0.0009","0.0009","1.0000","1.0000"
"38","0.0009","0.0009","1.0000","1.0000"
"39","0.0009","0.0009","1.0000","1.0000"
"40","0.0009","0.0009","1.0000","1.0000"
"41","0.0008","0.0008","1.0000","1.0000"
"42","0.0008","0.0008","1.0000","1.0000"
"43","0.0008","0.0008","1.0000","1.0000"
"44","0.0008","0.0008","1.0000","1.0000"
"45","0.0008","0.0008","1.0000","1.0000"
"46","0.0008","0.0008","1.0000","1.0000"
"47","0.0008","0.0008","1.0000","1.0000"
"48","0.0007","0.0007","1.0000","1.0000"
"49","0.0007","0.0007","1.0000","1.0000"
